player_name,age,market_value_m,position_tm,tm_league,league
Gianluigi Donnarumma,27,45.0,Goalkeeper,Premier League,
James Trafford,23,25.0,Goalkeeper,Premier League,
Marcus Bettinelli,33,0.5,Goalkeeper,Premier League,
Josko Gvardiol,24,70.0,Centre-Back,Premier League,
Marc Guéhi,25,65.0,Centre-Back,Premier League,
Rúben Dias,28,60.0,Centre-Back,Premier League,
Abdukodir Khusanov,22,35.0,Centre-Back,Premier League,
John Stones,31,15.0,Centre-Back,Premier League,
Nathan Aké,31,15.0,Centre-Back,Premier League,
Max Alleyne,20,8.0,Centre-Back,Premier League,
Nico O'Reilly,20,50.0,Left-Back,Premier League,
Rayan Aït-Nouri,24,40.0,Left-Back,Premier League,
Matheus Nunes,27,45.0,Right-Back,Premier League,
Rico Lewis,21,32.0,Right-Back,Premier League,
Rodri,29,65.0,Defensive Midfield,Premier League,
Nico González,24,45.0,Defensive Midfield,Premier League,
Tijjani Reijnders,27,60.0,Central Midfield,Premier League,
Sverre Nypan,19,15.0,Central Midfield,Premier League,
Mateo Kovacic,31,12.0,Central Midfield,Premier League,
Phil Foden,25,80.0,Attacking Midfield,Premier League,
Rayan Cherki,22,65.0,Attacking Midfield,Premier League,
Bernardo Silva,31,27.0,Attacking Midfield,Premier League,
Jérémy Doku,23,65.0,Left Winger,Premier League,
Savinho,21,40.0,Left Winger,Premier League,
Antoine Semenyo,26,75.0,Right Winger,Premier League,
Erling Haaland,25,200.0,Centre-Forward,Premier League,
Omar Marmoush,27,60.0,Centre-Forward,Premier League,
David Raya,30,35.0,Goalkeeper,Premier League,
Kepa Arrizabalaga,31,7.0,Goalkeeper,Premier League,
William Saliba,24,90.0,Centre-Back,Premier League,
Gabriel,28,75.0,Centre-Back,Premier League,
Piero Hincapié,24,50.0,Centre-Back,Premier League,
Cristhian Mosquera,21,35.0,Centre-Back,Premier League,
Riccardo Calafiori,23,50.0,Left-Back,Premier League,
Myles Lewis-Skelly,19,35.0,Left-Back,Premier League,
Jurriën Timber,24,70.0,Right-Back,Premier League,
Ben White,28,30.0,Right-Back,Premier League,
Martín Zubimendi,27,80.0,Defensive Midfield,Premier League,
Christian Nørgaard,32,7.0,Defensive Midfield,Premier League,
Declan Rice,27,120.0,Central Midfield,Premier League,
Mikel Merino,29,30.0,Central Midfield,Premier League,
Martin Ødegaard,27,65.0,Attacking Midfield,Premier League,
Eberechi Eze,27,60.0,Attacking Midfield,Premier League,
Gabriel Martinelli,24,45.0,Left Winger,Premier League,
Leandro Trossard,31,20.0,Left Winger,Premier League,
Bukayo Saka,24,120.0,Right Winger,Premier League,
Noni Madueke,24,50.0,Right Winger,Premier League,
Max Dowman,16,20.0,Right Winger,Premier League,
Viktor Gyökeres,27,65.0,Centre-Forward,Premier League,
Kai Havertz,26,50.0,Centre-Forward,Premier League,
Gabriel Jesus,28,20.0,Centre-Forward,Premier League,
Robert Sánchez,28,22.0,Goalkeeper,Premier League,
Filip Jørgensen,23,15.0,Goalkeeper,Premier League,
Gabriel Slonina,21,3.5,Goalkeeper,Premier League,
Teddy Sharman-Lowe,22,0.55,Goalkeeper,Premier League,
Levi Colwill,23,50.0,Centre-Back,Premier League,
