player_name,team,position,league,season,games,minutes,goals,assists,xG,xA,npg,npxG,shots,key_passes,xGChain,xGBuildup,goals_p90,assists_p90,xG_p90,xA_p90,npg_p90,npxG_p90,shots_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,goal_conversion,xG_overperf,xA_overperf
Harry Kane,Tottenham,F,Premier League,2020,35,3097,23,14,22.17,7.58,19,19.13,138,49,25.0,4.45,0.6684,0.4068,0.6444,0.2202,0.5521,0.5559,4.0103,1.424,0.7264,0.1294,0.1667,0.024,0.1867
Mohamed Salah,Liverpool,F M S,Premier League,2020,37,3085,22,5,20.25,6.53,16,15.68,126,55,28.97,9.8,0.6418,0.1459,0.5908,0.1905,0.4668,0.4576,3.6759,1.6045,0.8451,0.2859,0.1746,0.051,-0.0446
Bruno Fernandes,Manchester United,M S,Premier League,2020,37,3117,18,12,16.02,11.47,9,8.41,121,95,26.91,11.93,0.5197,0.3465,0.4625,0.3313,0.2599,0.2428,3.4937,2.743,0.777,0.3445,0.1488,0.0572,0.0152
Son Heung-Min,Tottenham,F M S,Premier League,2020,37,3139,17,10,11.02,9.51,16,10.26,68,75,20.67,6.61,0.4874,0.2867,0.3161,0.2728,0.4587,0.2942,1.9497,2.1504,0.5927,0.1895,0.25,0.1714,0.014
Patrick Bamford,Leeds,F S,Premier League,2020,38,3085,17,7,18.4,3.78,15,16.88,107,30,23.39,4.13,0.4959,0.2042,0.5368,0.1103,0.4376,0.4924,3.1216,0.8752,0.6825,0.1205,0.1589,-0.0409,0.0939
Dominic Calvert-Lewin,Everton,F S,Premier League,2020,33,2878,16,0,18.21,2.1,16,18.21,83,18,19.88,4.27,0.5003,0.0,0.5695,0.0657,0.5003,0.5695,2.5956,0.5629,0.6218,0.1336,0.1928,-0.0691,-0.0657
Jamie Vardy,Leicester,F S,Premier League,2020,34,2848,15,9,19.94,5.09,7,13.09,82,28,18.23,2.41,0.474,0.2844,0.6302,0.1608,0.2212,0.4137,2.5913,0.8848,0.576,0.0762,0.1829,-0.1562,0.1236
Ollie Watkins,Aston Villa,F,Premier League,2020,37,3330,14,5,16.28,5.31,13,14.76,98,45,22.01,5.33,0.3784,0.1351,0.44,0.1436,0.3514,0.3989,2.6486,1.2162,0.595,0.1442,0.1429,-0.0616,-0.0085
Ilkay Gündogan,Manchester City,M S,Premier League,2020,28,2033,13,2,9.57,3.82,12,8.04,54,42,19.29,10.15,0.5755,0.0885,0.4235,0.1689,0.5312,0.3561,2.3906,1.8593,0.8538,0.4493,0.2407,0.152,-0.0804
Alexandre Lacazette,Arsenal,F M S,Premier League,2020,31,1939,13,2,12.03,2.21,10,9.75,45,22,14.36,2.94,0.6034,0.0928,0.5583,0.1025,0.4642,0.4523,2.0887,1.0211,0.6666,0.1364,0.2889,0.0451,-0.0097
Callum Wilson,Newcastle United,F S,Premier League,2020,26,2079,12,5,13.59,3.05,8,10.55,49,17,14.21,1.05,0.5195,0.2165,0.5883,0.1319,0.3463,0.4565,2.1212,0.7359,0.615,0.0456,0.2449,-0.0688,0.0846
Kelechi Iheanacho,Leicester,F S,Premier League,2020,25,1452,12,2,9.05,3.53,12,8.29,59,28,13.96,3.43,0.7438,0.124,0.5609,0.2191,0.7438,0.5137,3.657,1.7355,0.8654,0.2126,0.2034,0.1829,-0.0951
Danny Ings,Southampton,F S,Premier League,2020,29,2200,12,4,8.28,2.31,10,6.75,57,22,10.48,2.48,0.4909,0.1636,0.3386,0.0946,0.4091,0.2763,2.3318,0.9,0.4288,0.1014,0.2105,0.1523,0.0691
Chris Wood,Burnley,F S,Premier League,2020,33,2765,12,3,12.95,2.04,10,11.43,70,23,13.59,2.15,0.3906,0.0976,0.4217,0.0663,0.3255,0.3721,2.2785,0.7486,0.4422,0.07,0.1714,-0.0311,0.0313
Wilfried Zaha,Crystal Palace,F M S,Premier League,2020,30,2615,11,2,8.8,3.7,9,7.28,60,30,13.58,3.63,0.3786,0.0688,0.303,0.1274,0.3098,0.2506,2.065,1.0325,0.4674,0.1251,0.1833,0.0756,-0.0586
Marcus Rashford,Manchester United,F M S,Premier League,2020,37,2941,11,9,9.58,4.19,11,9.58,79,44,20.44,8.93,0.3366,0.2754,0.2932,0.1281,0.3366,0.2932,2.4175,1.3465,0.6256,0.2732,0.1392,0.0435,0.1473
Sadio Mané,Liverpool,F M S,Premier League,2020,35,2805,11,7,14.83,7.79,11,14.83,94,61,25.0,6.06,0.3529,0.2246,0.4758,0.2499,0.3529,0.4758,3.016,1.9572,0.8021,0.1944,0.117,-0.1228,-0.0253
Gareth Bale,Tottenham,M S,Premier League,2020,20,909,11,2,5.8,1.84,11,5.8,38,21,8.15,2.59,1.0891,0.198,0.574,0.1824,1.0891,0.574,3.7624,2.0792,0.8069,0.2569,0.2895,0.5151,0.0156
Matheus Pereira,West Bromwich Albion,M S,Premier League,2020,33,2594,11,6,6.95,6.36,7,3.9,65,58,10.86,3.76,0.3816,0.2082,0.2411,0.2205,0.2429,0.1354,2.2552,2.0123,0.3767,0.1304,0.1692,0.1406,-0.0123
Pierre-Emerick Aubameyang,Arsenal,F M S,Premier League,2020,29,2333,10,3,10.45,2.43,8,8.93,57,22,15.11,3.96,0.3858,0.1157,0.4031,0.0938,0.3086,0.3444,2.1989,0.8487,0.583,0.1526,0.1754,-0.0174,0.0219
Michail Antonio,West Ham,F S,Premier League,2020,26,1993,10,5,14.14,3.19,10,14.14,63,27,19.27,2.77,0.4516,0.2258,0.6385,0.1443,0.4516,0.6385,2.845,1.2193,0.8704,0.1251,0.1587,-0.1869,0.0815
Christian Benteke,Crystal Palace,F S,Premier League,2020,30,1824,10,1,7.46,0.7,10,7.46,71,15,8.47,3.15,0.4934,0.0493,0.368,0.0344,0.4934,0.368,3.5033,0.7401,0.4181,0.1556,0.1408,0.1255,0.0149
Raheem Sterling,Manchester City,F M S,Premier League,2020,31,2539,10,7,12.05,6.63,10,11.29,70,39,25.88,12.17,0.3545,0.2481,0.4272,0.235,0.3545,0.4002,2.4813,1.3824,0.9175,0.4315,0.1429,-0.0727,0.0132
Edinson Cavani,Manchester United,F S,Premier League,2020,26,1355,10,3,8.6,2.32,10,8.6,34,14,12.26,2.73,0.6642,0.1993,0.5714,0.1539,0.6642,0.5714,2.2583,0.9299,0.8143,0.1814,0.2941,0.0928,0.0453
Anwar El Ghazi,Aston Villa,F M S,Premier League,2020,28,1612,10,0,9.04,1.88,6,5.99,64,26,7.85,2.69,0.5583,0.0,0.5046,0.1051,0.335,0.3346,3.5732,1.4516,0.438,0.1503,0.1562,0.0537,-0.1051
Nicolas Pepe,Arsenal,F M S,Premier League,2020,29,1602,10,1,6.0,1.01,9,5.24,47,11,9.36,4.22,0.5618,0.0562,0.3371,0.0569,0.5056,0.2943,2.6404,0.618,0.5258,0.237,0.2128,0.2247,-0.0007
Tomas Soucek,West Ham,M,Premier League,2020,38,3420,10,1,8.98,2.44,10,8.98,64,18,17.0,8.72,0.2632,0.0263,0.2364,0.0643,0.2632,0.2364,1.6842,0.4737,0.4473,0.2294,0.1562,0.0268,-0.038
Roberto Firmino,Liverpool,F M S,Premier League,2020,36,2882,9,7,12.86,6.12,9,12.86,83,44,25.27,10.2,0.2811,0.2186,0.4016,0.191,0.2811,0.4016,2.592,1.374,0.7892,0.3185,0.1084,-0.1205,0.0276
Jesse Lingard,West Ham,F M,Premier League,2020,16,1434,9,4,5.25,2.33,8,3.73,42,18,10.1,5.69,0.5649,0.251,0.3294,0.1462,0.5021,0.2339,2.636,1.1297,0.6336,0.3571,0.2143,0.2354,0.1049
Riyad Mahrez,Manchester City,F M S,Premier League,2020,27,1961,9,6,6.23,6.09,9,6.23,58,45,18.85,9.17,0.4131,0.2754,0.286,0.2793,0.4131,0.286,2.6619,2.0653,0.865,0.4209,0.1552,0.127,-0.004
Gabriel Jesus,Manchester City,F M S,Premier League,2020,29,2053,9,4,9.65,3.55,9,9.65,55,31,17.88,6.23,0.3945,0.1754,0.4232,0.1556,0.3945,0.4232,2.4111,1.359,0.7838,0.2733,0.1636,-0.0286,0.0197
